"Year","EligibleTitles","SciFiTitles","FantasyTitles","AdventureTitles","BothTitles"
"1960","2","0","0","2","0"
"1961","3","1","1","1","0"
"1962","1","1","0","0","0"
"1963","3","2","1","2","1"
"1964","4","1","2","2","0"
"1965","5","3","2","4","1"
"1966","3","2","2","1","1"
"1967","1","1","0","0","0"
"1968","2","0","2","1","0"
"1969","4","1","3","2","1"
"1971","1","0","0","1","0"
"1972","3","0","0","3","0"
"1973","2","2","1","2","1"
"1974","2","2","0","2","0"
"1975","3","2","1","3","1"
"1976","2","1","0","2","0"
"1977","2","1","1","2","0"
"1978","3","3","1","2","1"
"1979","3","1","0","3","0"
"1980","1","0","0","1","0"
"1981","4","2","1","4","0"
"1982","2","1","1","2","1"
"1983","9","4","6","7","2"
"1984","9","5","4","7","0"
"1985","8","6","5","6","4"
"1986","3","2","1","1","1"
"1987","5","3","3","4","1"
"1988","6","2","2","4","0"
"1989","10","5","5","8","2"
"1990","8","3","4","5","2"
"1991","9","4","4","8","3"
"1992","7","3","2","7","1"
"1993","14","12","0","12","0"
"1994","15","7","10","11","4"
"1995","14","8","9","12","5"
"1996","12","8","7","9","3"
"1997","18","5","9","13","2"
"1998","9","2","6","8","2"
"1999","13","6","6","10","1"
"2000","13","7","6","10","1"
"2001","20","12","10","11","5"
"2002","17","13","5","12","5"
"2003","23","14","15","16","8"
"2004","22","11","13","16","6"
"2005","19","8","6","13","0"
"2006","19","12","8","7","4"
"2007","22","7","13","14","3"
"2008","28","18","16","14","8"
"2009","23","15","7","9","4"
"2010","25","11","15","16","7"
"2011","33","15","20","19","6"
"2012","30","23","12","17","8"
"2013","31","14","15","18","5"
"2014","35","17","20","14","6"
"2015","40","26","16","13","2"
"2016","45","23","21","21","9"
"2017","35","22","15","15","7"
"2018","54","29","28","29","10"
"2019","54","38","29","21","16"
"2020","56","28","31","29","13"
"2021","71","39","38","46","22"
"2022","66","33","31","40","11"
"2023","48","29","18","27","7"
"2024","34","23","15","24","8"
"2025","24","16","14","11","8"
"2026","10","8","5","8","4"
